Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 65.0.3325.181,,2018-03-29 13:37:04,2018-03-29 13:37:19,14.821s,PASSED
,,,,,,
Test Cases/Login/LecturerLogin,Chrome 65.0.3325.181,,2018-03-29 13:37:05,2018-03-29 13:37:12,7.174s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 13:37:05,2018-03-29 13:37:09,3.834s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 13:37:09,2018-03-29 13:37:10,1.563s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 13:37:10,2018-03-29 13:37:11,0.316s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 13:37:11,2018-03-29 13:37:11,0.188s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-03-29 13:37:11,2018-03-29 13:37:11,0.288s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 13:37:11,2018-03-29 13:37:12,0.357s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 65.0.3325.181,,2018-03-29 13:37:12,2018-03-29 13:37:12,0.019s,PASSED
verifyMatch,Chrome 65.0.3325.181,,2018-03-29 13:37:12,2018-03-29 13:37:12,0.020s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-29 13:37:12,2018-03-29 13:37:12,0.123s,PASSED
,,,,,,
Test Cases/Login/StudentLogin,Chrome 65.0.3325.181,,2018-03-29 13:37:12,2018-03-29 13:37:16,3.984s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 13:37:12,2018-03-29 13:37:14,2.175s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 13:37:14,2018-03-29 13:37:15,0.770s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 13:37:15,2018-03-29 13:37:15,0.234s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 13:37:15,2018-03-29 13:37:15,0.172s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 13:37:15,2018-03-29 13:37:16,0.323s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 65.0.3325.181,,2018-03-29 13:37:16,2018-03-29 13:37:16,0.031s,PASSED
verifyMatch,Chrome 65.0.3325.181,,2018-03-29 13:37:16,2018-03-29 13:37:16,0.005s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-29 13:37:16,2018-03-29 13:37:16,0.099s,PASSED
,,,,,,
Test Cases/Login/AdminLogin,Chrome 65.0.3325.181,,2018-03-29 13:37:16,2018-03-29 13:37:19,3.127s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 13:37:16,2018-03-29 13:37:17,1.438s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 13:37:17,2018-03-29 13:37:18,0.587s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 13:37:18,2018-03-29 13:37:18,0.242s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 13:37:18,2018-03-29 13:37:18,0.136s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 13:37:18,2018-03-29 13:37:19,0.485s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 65.0.3325.181,,2018-03-29 13:37:19,2018-03-29 13:37:19,0.011s,PASSED
verifyMatch,Chrome 65.0.3325.181,,2018-03-29 13:37:19,2018-03-29 13:37:19,0.002s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-29 13:37:19,2018-03-29 13:37:19,0.095s,PASSED
